Date,CPU Utilization,CPU Power
2024-10-07 22:25:33,0.02812,30.72959
2024-10-07 22:25:34,0.03133,29.51274
2024-10-07 22:25:35,0.03125,33.30368
2024-10-07 22:25:36,0.03125,31.51650
2024-10-07 22:25:37,0.03125,24.83341
2024-10-07 22:25:38,0.03125,32.74803
2024-10-07 22:25:39,0.02812,30.83921
2024-10-07 22:25:40,0.03125,32.75562
2024-10-07 22:25:41,0.03125,30.12695
2024-10-07 22:25:42,0.03117,32.63046
2024-10-07 22:25:43,0.03125,33.23020
2024-10-07 22:25:44,0.03125,27.90690
2024-10-07 22:25:45,0.02812,31.79688
2024-10-07 22:25:46,0.03125,33.29208
2024-10-07 22:25:47,0.03125,27.01875
2024-10-07 22:25:48,0.03125,33.57031
2024-10-07 22:25:49,0.03125,33.00015
2024-10-07 22:25:50,0.02844,31.57876
2024-10-07 22:25:51,0.03125,28.04362
