Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-07 22:25:33,0.02906,31.75391,31.75391,0.00000
2024-10-07 22:25:34,0.03571,33.64453,33.64453,0.00000
2024-10-07 22:25:35,0.03156,33.63672,33.63672,0.00000
2024-10-07 22:25:36,0.03344,33.72266,33.72266,0.00000
2024-10-07 22:25:37,0.04250,33.77344,33.77344,0.00000
2024-10-07 22:25:38,0.03219,33.73047,33.73047,0.00000
2024-10-07 22:25:39,0.02906,31.86719,31.86719,0.00000
2024-10-07 22:25:40,0.03219,33.73828,33.73828,0.00000
2024-10-07 22:25:41,0.03500,33.74219,33.74219,0.00000
2024-10-07 22:25:42,0.03211,33.60938,33.60938,0.00000
2024-10-07 22:25:43,0.03156,33.56250,33.56250,0.00000
2024-10-07 22:25:44,0.03750,33.48828,33.48828,0.00000
2024-10-07 22:25:45,0.02812,31.79688,31.79688,0.00000
2024-10-07 22:25:46,0.03156,33.62500,33.62500,0.00000
2024-10-07 22:25:47,0.03906,33.77344,33.77344,0.00000
2024-10-07 22:25:48,0.03125,33.57031,33.57031,0.00000
2024-10-07 22:25:49,0.03187,33.66016,33.66016,0.00000
2024-10-07 22:25:50,0.02875,31.92578,31.92578,0.00000
2024-10-07 22:25:51,0.03750,33.65234,33.65234,0.00000
