Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-07 22:24:49,0.01911,21.96484,21.96484,0.00000
2024-10-07 22:24:50,0.01094,20.20703,20.20703,0.00000
2024-10-07 22:24:51,0.00938,19.52344,19.52344,0.00000
2024-10-07 22:24:52,0.01531,20.69922,20.69922,0.00000
2024-10-07 22:24:53,0.01031,20.08984,20.08984,0.00000
2024-10-07 22:24:54,0.00969,19.70313,19.70313,0.00000
2024-10-07 22:24:55,0.00875,19.27734,19.27734,0.00000
2024-10-07 22:24:56,0.02151,20.79297,20.79297,0.00000
2024-10-07 22:24:57,0.00875,19.41016,19.41016,0.00000
2024-10-07 22:24:58,0.00906,19.33594,19.33594,0.00000
2024-10-07 22:24:59,0.01375,19.90234,19.90234,0.00000
2024-10-07 22:25:00,0.00969,19.97266,19.97266,0.00000
2024-10-07 22:25:01,0.01094,20.26172,20.26172,0.00000
2024-10-07 22:25:02,0.00938,19.57422,19.57422,0.00000
2024-10-07 22:25:03,0.01594,20.11719,20.11719,0.00000
2024-10-07 22:25:04,0.00906,19.34375,19.34375,0.00000
2024-10-07 22:25:05,0.00938,19.45313,19.45313,0.00000
2024-10-07 22:25:06,0.01974,22.75000,22.75000,0.00000
2024-10-07 22:25:07,0.01094,20.16406,20.16406,0.00000
