Date,CPU Utilization,CPU Power
2024-10-07 22:24:49,0.00877,10.08222
2024-10-07 22:24:50,0.00875,16.16563
2024-10-07 22:24:51,0.00875,18.22187
2024-10-07 22:24:52,0.01000,13.51786
2024-10-07 22:24:53,0.01000,19.48106
2024-10-07 22:24:54,0.00938,19.06754
2024-10-07 22:24:55,0.00875,19.27734
2024-10-07 22:24:56,0.00873,8.43773
2024-10-07 22:24:57,0.00875,19.41016
2024-10-07 22:24:58,0.00875,18.66918
2024-10-07 22:24:59,0.00875,12.66513
2024-10-07 22:25:00,0.00969,19.97266
2024-10-07 22:25:01,0.01031,19.10391
2024-10-07 22:25:02,0.00906,18.92174
2024-10-07 22:25:03,0.00906,11.43919
2024-10-07 22:25:04,0.00875,18.67673
2024-10-07 22:25:05,0.00875,18.15625
2024-10-07 22:25:06,0.01003,11.55556
2024-10-07 22:25:07,0.01000,18.43571
